"id","iata_code","icao_code","name","city_id","city_name","time_zone_offset","latitude","longitude","score","enabled","duffel_id","__drizzlerowid__"
"fcnk99qlzwql6p90jlmubspw","GYD","UBBB","Heydar Aliyev International Airport","k73m1pgycv7ute8ayn9u2wwf","Baku","+04:00","40.46084","50.05167","3","1",,"3154"
"fcuzafvv2gdid04ijg4v3ngv","HRE","FVRG","Harare International Airport","sxax5eetjxakt61wpdxdnfyg","Harare","+02:00","-17.93194","31.09278","3","1",,"3050"
"fda92cjjzstg27vy4ul27dbv","NSE","KNSE","Whiting Field Naval Air Station - North","hktj301pzcmx1d7ftrmq9t4j","Milton","-05:00","30.72417","-87.02194","0","1",,"8723"
"fdcph137jpwo0770ueh991dq","IKT","UIII","Irkutsk International Airport","nc58xdsfhdwc3xwgufwvvtpb","Irkutsk","+08:00","52.26806","104.3889","4","1",,"3415"
"fdhtnoar7jdgzw1sk0m40dze","TAS","UTTT","Tashkent International Airport","xmah6yfir46yur56n81bo8pv","Tashkent","+05:00","41.25778","69.28112","3","1",,"7933"
"fdiqpq0zudibnd9w4ikfmxl5","ORN","DAOO","Oran International Airport","wp79tf9gfghzvv6wook5qcoa","Oran","+01:00","35.62389","-0.62111","2","1",,"5939"
"fdjyozpbhqbph8ttbfc8q9o9","WYA","YWHA","Whyalla Airport","mn5hss5gi0y2xoc91az3j4bn","Whyalla","+09:30","-33.05888","137.5139","0","1",,"8726"
"fdpja7doftk7aw2wdhmuvyim","KEP","VNNG","Nepalgunj Airport","ya4zu5q9vns4jbcnbogsg6ap","Nepalgunj","+05:45","28.10362","81.66695","0","1",,"5601"
"fdr2m28z19t5hjawpjiaxc0b","LLS","SATK","Alferez Armando Rodriguez Airport","ipb32cxkhli2vawd8wrx3nqz","Las Lomitas","-03:00","-24.7","-60.6","0","0",,"172"
"fdtat3hre3ntmd7lwzcq1ccx","WAI","FMNW","Ambalabe Airport","mozmjeamihj80353tyzcp3mh","Antsohihy","+03:00","-14.89833","47.99389","0","1",,"247"
"fdvkwfdbfge0ay2vw9n0znpr","GFD","KGFD","Pope Field","au8sg59fwaw88gxdwqmzy2nm","Greenfield","-04:00","39.79028","-85.73611","0","0",,"6359"
"fdxzuxzun7eacm7i2z8wlnk2","HGA","HCMH","Hargeisa Airport","hauqqik3rlisuwx6rpkgz0rr","Hargeisa","+03:00","9.51445","44.08445","1","1",,"3052"
"fdy67l1z3yhqw4qu3s9110mb","BRQ","LKTB","Brno-Tuřany Airport","v56z121d8vzq07kmtd1ztol0","Brno","+02:00","49.15139","16.69445","1","1",,"1109"
"fdyfde71ame4d9f2iubkdgl7","NCL","EGNT","Newcastle Airport","hmdj6ljs05zwfoksr9zp8g07","Newcastle","+01:00","55.0375","-1.69166","3","1",,"5616"
"fdz646plu676owttfwx1keg5","MGT","YMGB","Milingimbi Airport","pgt16pxycam249jbuxms7ij1","Milingimbi Island","+09:30","-12.09444","134.89391","1","1",,"5135"
"fdzptnvcj3071al5zezyas3c","GCI","EGJB","Guernsey Airport","m3opd0beepyn9pp6z6ttg8gz","Guernsey","+01:00","49.43496","-2.60197","1","1",,"2956"
"fdzyq3c1vip1ggrj1syn3p9a","UUS","UHSS","Yuzhno-Sakhalinsk Airport","ta5dcykbvbi1ze1d74cnm4tm","Yuzhno-Sakhalinsk","+11:00","46.88862","142.7175","3","1",,"8953"
"fe1kuaaw8bwr7w520wq6pg2t","HOH","LOIH","Hohenems-Dornbirn Airport","uswq9kwj0ienp11nqp3qie5f","Dornbirn/Hohenems","+02:00","47.38334","9.69889","0","1",,"3184"
"feagyk402dfz8a5gvx2i4m37","UUN","ZMBU","Baruun-Urt Airport","sblrmwhhgz10pquh14bs3owk","Baruun-Urt","+08:00","46.66028","113.285","0","0",,"703"
